T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
1850.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.7034819513e-20,0.00017238784283,1.42747945206e-20,5.32437505986e-24,0.0,0.319913806079,2.74654393146e-21,1.78459515827e-28,0.0,2.1156768124e-170,0.0,1.83076752375e-163,1.36806042828e-32,1.88056144718e-23,4.79761317334e-35,0.0,0.0,0.0,3.1658673124e-187,2.42024288772e-66,0.0,0.0,1.28997086824e-181,0.0,0.0,5.42889203142e-176,0.0,6.95143440684e-301,0.0,0.0,0.0
1900.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,6.52383069014e-20,0.00025393759313,5.53982193069e-20,2.48070954506e-23,0.0,0.319873031203,9.86489249203e-21,9.77788804939e-28,0.0,1.58210084747e-192,0.0,7.04875503727e-186,4.04250639334e-36,3.17569512739e-27,1.50409890839e-38,0.0,0.0,0.0,2.67552446075e-213,1.88807827053e-73,0.0,0.0,2.69855809342e-203,0.0,0.0,6.97226080595e-198,0.0,6.95231993041e-301,0.0,0.0,0.0
1950.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.33661618865e-19,0.000366823135782,2.00580070247e-19,1.06860141982e-22,0.0,0.319816588432,3.31884136721e-20,4.91231828542e-27,0.0,5.78064916351e-217,0.0,1.37204957406e-210,6.63831746062e-40,3.06649051567e-31,2.61266688885e-42,0.0,0.0,0.0,6.451553645e-242,4.56960491329e-81,0.0,0.0,2.61754707737e-227,0.0,0.0,4.2561380835e-222,0.0,6.95354571968e-301,0.0,0.0,0.0
2000.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,7.86183100833e-19,0.000520386818446,6.81456420641e-19,4.27856681856e-22,0.0,0.319739806591,1.05154559637e-19,2.27633444049e-26,0.0,7.2965120886e-244,0.0,9.52190084211e-238,5.93981477572e-44,1.65748776637e-35,2.46593437525e-46,0.0,0.0,0.0,3.06562701764e-273,3.29739764579e-89,0.0,0.0,8.35636837727e-254,0.0,0.0,8.74934402133e-249,0.0,6.95521322032e-301,0.0,0.0,0.0
2050.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.4961785377e-18,0.000725947182892,2.18262256699e-18,1.60076051213e-21,0.0,0.319637026409,3.15156829093e-19,9.78657561548e-26,0.0,0.0,0.0,0.0,2.83930948339e-48,4.907277975e-40,1.24011869322e-50,0.0,0.0,0.0,6.95744533688e-301,6.81696448866e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95744533688e-301,0.0,0.0,0.0
2100.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,7.50972188913e-18,0.000997030232896,6.61831514626e-18,5.62320976123e-21,0.0,0.319501484884,8.97030345069e-19,3.92432170932e-25,0.0,0.0,0.0,0.0,7.10837106683e-53,7.78830438851e-45,3.25828665086e-55,0.0,0.0,0.0,0.0,3.87965068496e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96038894407e-301,0.0,0.0,0.0
2150.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00134959637894,0.0,0.0,0.0,0.319325201811,0.0,0.0,0.0,0.0,0.0,0.0,9.13725744721e-58,0.0,4.38519716745e-60,0.0,0.0,0.0,0.0,5.83979063706e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96421735105e-301,0.0,0.0,0.0
2200.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00180225878045,0.0,0.0,0.0,0.31909887061,0.0,0.0,0.0,0.0,0.0,0.0,5.91155780725e-63,0.0,2.96391057682e-65,0.0,0.0,0.0,0.0,2.23355379819e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96913267238e-301,0.0,0.0,0.0
2250.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00237648896929,0.0,0.0,0.0,0.318811755515,0.0,0.0,0.0,0.0,0.0,0.0,1.88696376548e-68,0.0,9.86268759282e-71,0.0,0.0,0.0,0.0,2.08523566707e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9753680608e-301,0.0,0.0,0.0
2300.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00309680585507,0.0,0.0,0.0,0.318451597072,0.0,0.0,0.0,0.0,0.0,0.0,2.91287153353e-74,0.0,1.58393005071e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98318975957e-301,0.0,0.0,0.0
2350.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00399094443519,0.0,0.0,0.0,0.318004527782,0.0,0.0,0.0,0.0,0.0,0.0,2.13148859266e-80,0.0,1.20343889773e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99289893449e-301,0.0,0.0,0.0
2400.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00509000070126,0.0,0.0,0.0,0.317454999649,0.0,0.0,0.0,0.0,0.0,0.0,7.24677945647e-87,0.0,4.2401239307e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00483324732e-301,0.0,0.0,0.0
2450.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.00642854928114,0.0,0.0,0.0,0.316785725359,0.0,0.0,0.0,0.0,0.0,0.0,1.12200259997e-93,0.0,6.79051397679e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01936813329e-301,0.0,0.0,0.0
